tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
Appreciated the opportunity to visit with the @kcchamber Military Affairs Committee to hear about the work being done in the KC region to advocate for and support our men and women in uniform. pic.twitter.com/BwDsm3gfkC,1167542377973735424,2019-08-30,20:59:29,rephartzler,5,2,3,2019-08-30 20:59:29
The @Surgeon_General issued a marijuana advisory after a new @HHSGov report highlights links between abnormal brain development in young people and smoking marijuana. The report says that marijuana is not safe for adolescents or pregnant women. Report:  http://bit.ly/2zrZu62  https://twitter.com/HHSGov/status/1167164019045744645 …,1167490502817648640,2019-08-30,17:33:21,rephartzler,3,2,6,2019-08-30 17:33:21
"Thank you for meeting with our office, Joanna!",1167488043625996290,2019-08-30,17:23:35,rephartzler,0,0,0,2019-08-30 17:23:35
Enjoyed meeting with the leadership team at Golden Valley Memorial Hospital to discuss #veterans healthcare legislation I recently introduced on their behalf. pic.twitter.com/k6QoC9XJrs,1167139224019247104,2019-08-29,18:17:30,rephartzler,1,2,13,2019-08-29 18:17:30
I was so glad to stop by @NRMChealth yesterday and congratulate them for all their hard work to keep their doors open to provide essential healthcare for their community. pic.twitter.com/E1loCXE2Ni,1167138189498310656,2019-08-29,18:13:23,rephartzler,2,1,3,2019-08-29 18:13:23
"It was a pleasure to start my morning in Holden, Missouri at the Veterans Village. @CampValor led the effort and volunteers funded & built the tiny houses - a true testament to the #ShowMe state’s values of community, service, and action. 🏠 pic.twitter.com/RnpPCROZLX",1167108655461937152,2019-08-29,16:16:01,rephartzler,3,1,7,2019-08-29 16:16:01
"I had the pleasure to meet with @CoxHealth officials today and hear how they’re educating future medical providers, expanding healthcare access in rural areas, and combatting the opioid crisis. pic.twitter.com/yaxrlJW7y0",1166750425929981952,2019-08-28,16:32:33,rephartzler,6,0,1,2019-08-28 16:32:33
"Today, I sat down with @FMSCA Administrator Raymond Martinez while at @fortleonardwood to see firsthand how the FMCSA, military services, and motor carrier associations are working together on the under-21 commercial drivers license initiative authorized by Congress. 🚛 pic.twitter.com/QE9Fjx7tPP",1166490620132823040,2019-08-27,23:20:10,rephartzler,2,1,3,2019-08-27 23:20:10
With so many great things happening @fortleonardwood I had to take to the sky to see it all🚁 pic.twitter.com/V3Kfzk8U1I,1166479928914829312,2019-08-27,22:37:41,rephartzler,3,2,7,2019-08-27 22:37:41
Enjoyed the opportunity to have lunch with the @Rotary Club of Pulaski County. It was a privilege to share with them the work I am doing in DC on their behalf and hear all the great things they are doing for the @FortLeonardWood community! pic.twitter.com/QOd8tBqrcH,1166446144593022978,2019-08-27,20:23:27,rephartzler,2,0,3,2019-08-27 20:23:27
Thrilled that federal employees will now be able to serve freely on vital Urban Search & Rescue Teams through my bill that @POTUS signed into law on Thursday. @BooneCountyFire https://www.columbiatribune.com/news/20190823/hartzler-bill-on-task-force-1-signed-by-trump …,1165982484846338049,2019-08-26,13:41:01,rephartzler,8,0,7,2019-08-26 13:41:01
Glad to hear @realDonaldTrump announce a new #TradeDeal with Japan where they have agreed to buy more U.S. agriculture products including corn 🌽 and wheat! Am looking forward to learning more about details & seeing it finalized soon. @NationalCorn @NationalWheat #farmers,1165638955741700096,2019-08-25,14:55:58,rephartzler,13,8,29,2019-08-25 14:55:58
"Today my MO Task Force 1 bill was signed into law. H.R. 639 establishes clear policy allowing federal employees to serve on @fema Urban Search and Rescue Task Forces, permitting long-time Missouri @BooneCountyFire task force members to serve on vital search and rescue teams.",1164656788165316611,2019-08-22,21:53:11,rephartzler,3,6,21,2019-08-22 21:53:11
